,R E C I P I E N T   R A C E ,,,,,,,E T H N I C I T Y ,,,HHOLD INCOME STATUS,
ZIP,"NATIVE
AMERICAN",ASIAN,BLACK,PACIFIC ISLANDER,WHITE,"MULTI
RACE","UNK /
MISSING","
HISPANIC","NON
HISPANIC","UNK /
MISSING","WITH
EARNED $","W/ ONLY
EARNED $"
85119,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,66.67%,33.33%,0.00%,0.00%
85120,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%
85122,0.00%,0.00%,0.00%,0.00%,66.67%,0.00%,66.67%,33.33%,66.67%,0.00%,0.00%,0.00%
85123,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
85128,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
85132,25.00%,0.00%,25.00%,0.00%,50.00%,0.00%,25.00%,0.00%,75.00%,25.00%,100.00%,100.00%
85138,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
85140,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%
85142,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%
85143,0.00%,0.00%,0.00%,0.00%,66.67%,0.00%,33.33%,0.00%,66.67%,33.33%,100.00%,100.00%
85189,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
85201,0.00%,0.00%,33.33%,0.00%,50.00%,0.00%,16.67%,0.00%,83.33%,16.67%,50.00%,50.00%
85202,0.00%,0.00%,0.00%,0.00%,25.00%,0.00%,75.00%,75.00%,0.00%,25.00%,0.00%,0.00%
85204,0.00%,0.00%,50.00%,0.00%,50.00%,0.00%,0.00%,50.00%,50.00%,0.00%,100.00%,100.00%
85206,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,100.00%
85207,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
85208,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
85209,0.00%,0.00%,0.00%,0.00%,57.14%,0.00%,42.86%,42.86%,57.14%,0.00%,50.00%,50.00%
85210,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,50.00%,50.00%,50.00%,0.00%,0.00%,0.00%
85215,0.00%,0.00%,50.00%,0.00%,50.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
85225,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,50.00%,100.00%,0.00%,0.00%,0.00%,0.00%
85233,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,100.00%,100.00%
85234,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%
85249,0.00%,0.00%,66.67%,0.00%,33.33%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
85250,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%
85257,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%
85259,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
85282,0.00%,0.00%,0.00%,0.00%,25.00%,0.00%,100.00%,75.00%,25.00%,25.00%,100.00%,100.00%
85284,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
85295,0.00%,0.00%,0.00%,0.00%,40.00%,0.00%,60.00%,60.00%,40.00%,0.00%,0.00%,0.00%
85301,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,66.67%,100.00%,0.00%,0.00%,0.00%,0.00%
85302,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
85303,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,50.00%,50.00%,0.00%,0.00%,0.00%
85308,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,33.33%,33.33%,66.67%,0.00%,0.00%,0.00%
85323,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%
85326,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
85335,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,50.00%,100.00%,0.00%,0.00%,0.00%,0.00%
85339,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%
85340,0.00%,14.29%,71.43%,0.00%,14.29%,0.00%,0.00%,14.29%,71.43%,14.29%,0.00%,0.00%
85345,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,66.67%,33.33%,0.00%,0.00%
85351,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,50.00%,0.00%,50.00%,50.00%,100.00%,0.00%
85353,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,100.00%,50.00%,50.00%,50.00%,0.00%,0.00%
85354,0.00%,0.00%,20.00%,0.00%,60.00%,0.00%,20.00%,0.00%,80.00%,20.00%,0.00%,0.00%
85364,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,0.00%,50.00%,50.00%,0.00%,0.00%,0.00%
85365,0.00%,0.00%,0.00%,0.00%,20.00%,0.00%,80.00%,100.00%,0.00%,0.00%,0.00%,0.00%
85367,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
85373,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,66.67%,66.67%,33.33%,0.00%,0.00%,0.00%
85374,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,50.00%,100.00%,0.00%,0.00%,0.00%,0.00%
85375,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
85381,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
85382,33.33%,0.00%,0.00%,0.00%,33.33%,0.00%,33.33%,0.00%,66.67%,33.33%,0.00%,0.00%
85541,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
85546,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,50.00%,50.00%,0.00%,0.00%,0.00%
85552,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
85602,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
85615,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
85616,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
85621,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,50.00%,50.00%,0.00%,50.00%,0.00%,0.00%
85629,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,50.00%,75.00%,0.00%,100.00%,100.00%
85634,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,100.00%,0.00%,100.00%,100.00%
85635,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,33.33%,0.00%,100.00%,33.33%,0.00%,0.00%
85641,0.00%,0.00%,60.00%,0.00%,40.00%,0.00%,0.00%,0.00%,80.00%,0.00%,100.00%,100.00%
85643,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,66.67%,33.33%,33.33%,100.00%,100.00%
85658,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,50.00%,50.00%,50.00%,0.00%,0.00%,0.00%
85704,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
85705,0.00%,50.00%,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,50.00%,50.00%,100.00%,100.00%
85706,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,100.00%,100.00%
85710,0.00%,0.00%,50.00%,0.00%,50.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
85711,0.00%,0.00%,0.00%,0.00%,83.33%,0.00%,16.67%,16.67%,83.33%,0.00%,100.00%,100.00%
85712,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
85713,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%
85714,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
85715,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,66.67%,100.00%,0.00%,0.00%,0.00%,0.00%
85716,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,0.00%,0.00%,0.00%
85719,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,50.00%,0.00%,50.00%,50.00%,0.00%,0.00%
85730,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
85734,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,100.00%,100.00%
85737,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
85741,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,100.00%,100.00%
85743,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,50.00%,50.00%,100.00%,100.00%
85746,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%
85749,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
85750,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
85756,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%
85757,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,75.00%,25.00%,0.00%,0.00%
85901,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%
85924,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
85929,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
85936,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
85937,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,50.00%,0.00%,50.00%,50.00%,0.00%,0.00%
85938,0.00%,0.00%,0.00%,0.00%,80.00%,0.00%,20.00%,20.00%,80.00%,0.00%,0.00%,0.00%
85941,66.67%,0.00%,0.00%,0.00%,0.00%,0.00%,33.33%,66.67%,0.00%,33.33%,0.00%,0.00%
86001,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,66.67%,66.67%,33.33%,0.00%,0.00%,0.00%
86004,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
86021,0.00%,0.00%,0.00%,0.00%,80.00%,0.00%,20.00%,0.00%,80.00%,20.00%,0.00%,0.00%
86314,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,0.00%,50.00%,0.00%,50.00%,0.00%,0.00%
86322,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
86326,0.00%,0.00%,0.00%,0.00%,80.00%,0.00%,20.00%,60.00%,40.00%,0.00%,100.00%,100.00%
86332,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
86333,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
86387,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,11.11%,88.89%,0.00%,100.00%,100.00%
86406,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,50.00%,50.00%,25.00%,0.00%,50.00%,50.00%
86409,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,50.00%,50.00%
86429,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%
86440,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,0.00%,0.00%,0.00%
86442,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
86556,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
87002,50.00%,0.00%,0.00%,0.00%,50.00%,0.00%,0.00%,50.00%,50.00%,0.00%,0.00%,0.00%
87015,0.00%,0.00%,0.00%,0.00%,75.00%,0.00%,25.00%,0.00%,75.00%,25.00%,100.00%,100.00%
87021,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%
87031,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,50.00%,50.00%,25.00%,25.00%,50.00%,50.00%
87047,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%
87102,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,50.00%,50.00%,50.00%,0.00%,100.00%,100.00%
87104,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%
87105,0.00%,0.00%,28.57%,0.00%,14.29%,0.00%,57.14%,57.14%,28.57%,28.57%,0.00%,0.00%
87106,0.00%,0.00%,33.33%,0.00%,33.33%,0.00%,33.33%,33.33%,33.33%,33.33%,0.00%,0.00%
87107,0.00%,0.00%,0.00%,0.00%,25.00%,0.00%,75.00%,75.00%,0.00%,25.00%,0.00%,0.00%
87108,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,50.00%,100.00%,50.00%,0.00%,0.00%,0.00%
87109,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,50.00%,50.00%,50.00%,0.00%,0.00%,0.00%
87110,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%
87111,0.00%,0.00%,0.00%,0.00%,75.00%,0.00%,25.00%,50.00%,75.00%,0.00%,100.00%,100.00%
87112,0.00%,0.00%,33.33%,0.00%,33.33%,0.00%,33.33%,33.33%,33.33%,33.33%,100.00%,100.00%
87113,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,66.67%,66.67%,33.33%,0.00%,0.00%,0.00%
87114,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,66.67%,66.67%,33.33%,0.00%,100.00%,100.00%
87120,0.00%,0.00%,0.00%,0.00%,20.00%,0.00%,80.00%,40.00%,20.00%,40.00%,0.00%,0.00%
87121,0.00%,0.00%,0.00%,0.00%,85.71%,0.00%,14.29%,71.43%,28.57%,0.00%,0.00%,0.00%
87123,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,50.00%,0.00%,50.00%,50.00%,0.00%,0.00%
87124,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,25.00%,100.00%,0.00%,0.00%,100.00%,100.00%
87144,0.00%,0.00%,75.00%,0.00%,25.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
87301,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,50.00%,50.00%,0.00%,0.00%,0.00%
87305,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,50.00%,0.00%,50.00%,50.00%,0.00%,0.00%
87401,0.00%,0.00%,0.00%,0.00%,66.67%,0.00%,33.33%,66.67%,33.33%,0.00%,0.00%,0.00%
87413,0.00%,0.00%,0.00%,0.00%,25.00%,0.00%,75.00%,75.00%,25.00%,0.00%,100.00%,100.00%
87421,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
87505,0.00%,33.33%,0.00%,0.00%,66.67%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
87506,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
87507,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,50.00%,50.00%,50.00%,0.00%,0.00%,0.00%
87524,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,75.00%,25.00%,0.00%,100.00%,100.00%
87532,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,100.00%
87571,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
87575,0.00%,0.00%,0.00%,0.00%,25.00%,0.00%,75.00%,100.00%,0.00%,0.00%,100.00%,100.00%
87701,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,50.00%,100.00%,0.00%,0.00%,0.00%,0.00%
87801,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,33.33%,66.67%,0.00%,100.00%,100.00%
87829,0.00%,0.00%,66.67%,0.00%,0.00%,0.00%,33.33%,16.67%,66.67%,16.67%,0.00%,0.00%
87853,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,100.00%
87930,0.00%,0.00%,0.00%,0.00%,88.89%,0.00%,11.11%,100.00%,0.00%,0.00%,0.00%,0.00%
87937,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,50.00%,50.00%,0.00%,50.00%,0.00%,0.00%
88001,0.00%,0.00%,0.00%,0.00%,66.67%,0.00%,33.33%,100.00%,0.00%,0.00%,0.00%,0.00%
88003,0.00%,0.00%,0.00%,0.00%,75.00%,0.00%,25.00%,50.00%,50.00%,0.00%,0.00%,0.00%
88005,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,25.00%,75.00%,0.00%,25.00%,0.00%,0.00%
88007,0.00%,0.00%,0.00%,0.00%,75.00%,0.00%,25.00%,100.00%,0.00%,0.00%,0.00%,0.00%
88008,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,50.00%,100.00%,0.00%,0.00%,100.00%,100.00%
88011,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%
88012,0.00%,0.00%,0.00%,0.00%,66.67%,0.00%,33.33%,33.33%,66.67%,0.00%,100.00%,100.00%
88021,0.00%,0.00%,0.00%,0.00%,40.00%,0.00%,60.00%,80.00%,0.00%,20.00%,0.00%,0.00%
88029,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
88030,0.00%,0.00%,0.00%,0.00%,60.00%,0.00%,60.00%,60.00%,40.00%,20.00%,100.00%,100.00%
88031,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
88044,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,75.00%,0.00%,25.00%,100.00%,100.00%
88045,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%
88047,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%
88048,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,100.00%
88061,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
88063,0.00%,0.00%,0.00%,0.00%,85.71%,0.00%,14.29%,85.71%,0.00%,0.00%,50.00%,50.00%
88072,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,100.00%
88081,0.00%,0.00%,0.00%,0.00%,36.36%,0.00%,54.55%,90.91%,9.09%,0.00%,33.33%,33.33%
88101,0.00%,0.00%,0.00%,0.00%,71.43%,0.00%,28.57%,57.14%,42.86%,14.29%,50.00%,50.00%
88119,0.00%,0.00%,0.00%,0.00%,75.00%,0.00%,25.00%,25.00%,75.00%,0.00%,0.00%,0.00%
88130,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,50.00%,0.00%,0.00%,100.00%,0.00%,0.00%
88135,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,50.00%,0.00%,100.00%,0.00%,100.00%,100.00%
88201,0.00%,0.00%,25.00%,0.00%,75.00%,0.00%,0.00%,25.00%,75.00%,0.00%,0.00%,0.00%
88203,0.00%,0.00%,40.00%,0.00%,40.00%,0.00%,20.00%,60.00%,60.00%,0.00%,0.00%,0.00%
88210,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,66.67%,100.00%,0.00%,0.00%,0.00%,0.00%
88211,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
88220,0.00%,0.00%,0.00%,0.00%,80.00%,0.00%,20.00%,60.00%,40.00%,20.00%,0.00%,0.00%
88231,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%
88240,0.00%,0.00%,7.69%,0.00%,76.92%,0.00%,15.38%,46.15%,53.85%,0.00%,33.33%,33.33%
88241,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%
88242,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,50.00%,50.00%,50.00%,0.00%,0.00%,0.00%
88252,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
88256,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,85.71%,14.29%,0.00%,33.33%,33.33%
88260,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,50.00%,50.00%,33.33%,16.67%,50.00%,0.00%
88265,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,75.00%,25.00%,0.00%,100.00%,100.00%
88267,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
88310,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,33.33%,66.67%,0.00%,0.00%,0.00%
88312,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
88317,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
88337,0.00%,0.00%,0.00%,0.00%,66.67%,0.00%,33.33%,100.00%,0.00%,0.00%,0.00%,0.00%
88345,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
88346,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%
88355,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,33.33%,0.00%,0.00%
88415,0.00%,0.00%,0.00%,0.00%,66.67%,0.00%,33.33%,0.00%,100.00%,0.00%,100.00%,100.00%
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
