,R E C I P I E N T   R A C E ,,,,,,,E T H N I C I T Y ,,,HHOLD INCOME STATUS,
ZIP,"NATIVE
AMERICAN",ASIAN,BLACK,PACIFIC ISLANDER,WHITE,"MULTI
RACE","UNK /
MISSING","
HISPANIC","NON
HISPANIC","UNK /
MISSING","WITH
EARNED $","W/ ONLY
EARNED $"
75164,0.00%,0.00%,3.28%,0.00%,68.85%,0.00%,26.23%,36.07%,62.30%,3.28%,47.37%,42.11%
75165,0.35%,0.36%,21.36%,0.04%,46.83%,0.02%,31.05%,32.78%,60.64%,6.58%,42.48%,39.97%
75166,0.00%,6.72%,11.19%,0.00%,54.48%,0.00%,27.61%,21.64%,72.39%,5.97%,38.10%,38.10%
75167,0.60%,0.15%,3.77%,0.15%,63.10%,0.00%,32.23%,36.90%,58.28%,4.82%,44.60%,42.72%
75168,0.00%,0.00%,40.00%,0.00%,30.00%,0.00%,30.00%,20.00%,70.00%,20.00%,14.29%,0.00%
75169,0.59%,0.25%,6.38%,0.00%,77.73%,0.00%,15.09%,13.51%,80.01%,6.48%,40.88%,37.95%
75172,0.48%,0.24%,23.94%,0.00%,32.83%,0.00%,42.43%,52.76%,42.19%,5.12%,46.42%,44.20%
75173,0.54%,0.27%,2.69%,0.00%,69.09%,0.27%,27.15%,27.96%,65.86%,6.45%,46.46%,42.52%
75180,0.28%,0.23%,26.66%,0.01%,33.76%,0.17%,38.87%,49.84%,44.63%,5.53%,48.57%,46.43%
75181,0.43%,1.43%,38.15%,0.04%,30.21%,0.11%,29.60%,35.82%,57.78%,6.44%,47.00%,43.46%
75182,0.71%,29.29%,4.29%,0.00%,52.14%,0.00%,12.86%,10.00%,83.57%,6.43%,37.25%,33.33%
75185,0.00%,0.00%,66.67%,0.00%,0.00%,0.00%,33.33%,16.67%,83.33%,16.67%,33.33%,33.33%
75187,0.00%,0.00%,20.00%,0.00%,30.00%,0.00%,60.00%,40.00%,50.00%,10.00%,0.00%,0.00%
75189,0.40%,0.74%,9.05%,0.11%,57.43%,0.00%,32.33%,36.48%,58.28%,5.18%,51.93%,48.44%
75201,0.81%,0.59%,66.27%,0.22%,20.99%,0.07%,10.97%,9.28%,86.82%,3.90%,11.48%,10.79%
75202,0.00%,0.00%,64.29%,0.00%,28.57%,0.00%,7.14%,0.00%,92.86%,7.14%,20.00%,20.00%
75203,0.55%,0.17%,33.61%,0.04%,21.63%,0.02%,44.00%,57.37%,36.79%,5.84%,43.41%,40.65%
75204,0.73%,2.69%,38.43%,0.07%,21.21%,0.05%,36.82%,45.25%,49.47%,5.26%,40.16%,37.57%
75205,1.90%,2.86%,10.48%,0.00%,60.95%,0.00%,22.86%,28.57%,66.67%,3.81%,32.14%,28.57%
75206,0.81%,1.94%,13.23%,0.19%,34.79%,0.03%,48.98%,64.05%,31.27%,4.65%,45.97%,43.62%
75207,2.78%,0.00%,58.33%,0.00%,16.67%,0.00%,22.22%,11.11%,83.33%,8.33%,13.04%,13.04%
75208,0.44%,0.11%,4.10%,0.03%,32.10%,0.03%,63.18%,87.07%,9.47%,3.46%,53.28%,50.72%
75209,0.25%,1.66%,35.54%,0.00%,19.14%,0.17%,43.25%,53.85%,42.17%,3.98%,45.35%,42.86%
75210,0.35%,0.44%,58.67%,0.00%,12.13%,0.02%,28.41%,33.84%,59.56%,6.62%,34.04%,31.79%
75211,0.77%,0.31%,8.58%,0.04%,21.14%,0.03%,69.14%,83.61%,12.36%,4.02%,54.92%,52.32%
75212,0.37%,0.90%,35.05%,0.01%,15.91%,0.01%,47.74%,56.46%,37.95%,5.57%,39.62%,37.39%
75213,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,0.00%,0.00%,0.00%
75214,0.92%,1.08%,15.01%,0.08%,28.85%,0.08%,54.02%,64.19%,30.65%,5.16%,47.39%,45.47%
75215,0.25%,0.24%,74.25%,0.02%,7.35%,0.09%,17.83%,15.43%,77.04%,7.55%,25.20%,23.53%
75216,0.32%,0.18%,55.88%,0.03%,12.19%,0.02%,31.40%,35.98%,57.30%,6.72%,33.32%,31.57%
75217,0.30%,0.23%,29.20%,0.03%,23.03%,0.06%,47.16%,60.96%,33.47%,5.56%,49.00%,46.77%
75218,0.85%,1.19%,26.66%,0.11%,36.64%,0.11%,34.43%,44.87%,49.06%,6.07%,42.56%,40.45%
75219,0.64%,3.71%,17.53%,0.04%,28.59%,0.00%,49.48%,65.50%,29.95%,4.59%,47.88%,45.71%
75220,0.45%,0.13%,4.12%,0.03%,32.62%,0.01%,62.64%,89.09%,7.02%,3.89%,72.61%,69.45%
75221,0.00%,0.00%,57.89%,0.00%,31.58%,0.00%,10.53%,15.79%,78.95%,5.26%,7.14%,7.14%
75222,0.00%,0.00%,83.33%,0.00%,16.67%,0.00%,16.67%,16.67%,83.33%,16.67%,66.67%,33.33%
